customer_id,age_band,region,app_user
100000,55-64,South,False
100001,35-44,North,False
100002,55-64,East,False
100003,45-54,Zagreb,True
100004,25-34,East,False
100005,65+,North,False
100006,55-64,East,False
100007,55-64,Zagreb,False
100008,25-34,West,True
100009,35-44,Zagreb,False
100010,35-44,West,False
100011,65+,South,False
100012,45-54,Zagreb,True
100013,55-64,North,True
100014,35-44,East,False
100015,25-34,South,True
100016,35-44,West,True
100017,18-24,North,False
100018,55-64,South,False
100019,45-54,Zagreb,True
100020,55-64,Zagreb,True
100021,35-44,East,True
100022,65+,West,False
100023,55-64,Zagreb,False
100024,55-64,Central,True
100025,25-34,Zagreb,True
100026,35-44,Zagreb,False
100027,18-24,South,False
100028,25-34,Central,False
100029,45-54,North,True
100030,45-54,Central,True
100031,65+,North,True
100032,25-34,Zagreb,False
100033,35-44,East,False
100034,35-44,South,False
100035,25-34,Zagreb,False
100036,25-34,Zagreb,True
100037,35-44,Central,True
100038,25-34,North,False
100039,45-54,Zagreb,False
100040,35-44,East,False
100041,55-64,South,True
100042,45-54,Zagreb,True
100043,25-34,Zagreb,True
100044,55-64,East,True
100045,55-64,North,False
100046,35-44,Zagreb,False
100047,25-34,East,True
100048,45-54,East,False
100049,25-34,East,False
100050,25-34,North,False
100051,18-24,Zagreb,False
100052,55-64,Zagreb,False
100053,45-54,West,False
100054,45-54,Central,False
100055,55-64,North,False
100056,35-44,East,False
100057,35-44,North,True
100058,25-34,West,True
100059,25-34,Central,True
100060,45-54,Zagreb,False
100061,35-44,Zagreb,False
100062,35-44,Zagreb,False
100063,55-64,Zagreb,False
100064,45-54,East,False
100065,35-44,Zagreb,False
100066,35-44,Central,False
100067,25-34,East,False
100068,18-24,Zagreb,False
100069,35-44,Zagreb,True
100070,25-34,Zagreb,False
100071,35-44,East,True
100072,55-64,East,False
100073,25-34,North,False
100074,18-24,Zagreb,False
100075,25-34,South,False
100076,25-34,North,False
100077,45-54,North,False
100078,35-44,North,True
100079,55-64,Zagreb,False
100080,45-54,Central,True
100081,35-44,Central,False
100082,55-64,Zagreb,False
100083,25-34,Zagreb,False
100084,18-24,East,True
100085,25-34,North,True
100086,45-54,South,True
100087,35-44,East,True
100088,25-34,South,False
100089,35-44,Zagreb,False
100090,25-34,East,True
100091,45-54,Zagreb,True
100092,35-44,South,False
100093,35-44,East,False
100094,25-34,Central,False
100095,45-54,Zagreb,False
100096,35-44,East,False
100097,18-24,East,False
100098,25-34,Zagreb,False
100099,65+,Central,False
100100,65+,North,False
100101,45-54,East,False
100102,25-34,North,False
100103,65+,Central,True
100104,55-64,Zagreb,False
100105,45-54,East,False
100106,35-44,South,False
100107,25-34,Zagreb,False
100108,25-34,West,False
100109,65+,South,False
100110,35-44,Zagreb,True
100111,25-34,Zagreb,True
100112,25-34,West,True
100113,45-54,South,True
100114,25-34,Zagreb,False
100115,55-64,South,False
100116,55-64,Zagreb,True
100117,45-54,North,False
100118,35-44,South,False
100119,45-54,Zagreb,True
100120,45-54,West,False
100121,45-54,Zagreb,True
100122,18-24,North,True
100123,35-44,South,True
100124,18-24,Zagreb,True
100125,35-44,Central,False
100126,25-34,South,False
100127,25-34,West,False
100128,25-34,South,True
100129,45-54,South,True
100130,25-34,Zagreb,True
100131,65+,East,True
100132,45-54,North,False
100133,35-44,Central,True
100134,45-54,Central,True
100135,18-24,Zagreb,False
100136,65+,West,False
100137,35-44,North,False
100138,55-64,Central,False
100139,18-24,North,True
100140,35-44,North,False
100141,35-44,Central,True
100142,65+,East,False
100143,45-54,West,True
100144,35-44,West,False
100145,25-34,West,False
100146,35-44,West,False
100147,35-44,South,False
100148,35-44,Zagreb,False
100149,18-24,Central,False
100150,55-64,Zagreb,True
100151,55-64,East,False
